Text,Label
Hoy va a ser un gran dia,1
"Hoy estaba mal, pero comí un helado y ya no.",1
"Hoy tengo muchas ganas, mucha energía y motivación para ir al trabajo.",1
Hoy probé un nuevo restaurante muy bueno,1
"Los días a pesar de ser lluviosos, pueden ser divertidos. Me gustan los días así. ",1
Estoy lista para realizar todos mi quehaceres hoy,1
Recibí una felicitación de la directora por mi buen trabajo.,1
Me sentí feliz y dichosa de tener la oportunidad de trabajar donde me siento más agusto.,1
Estoy cuidando de mí para cuidar a los demás,1
Hoy pasé mucho tiempo con amigos cercanos y me sentí muy plena.,1
Soy suficiente para afrontar cualquier desafío que se me presente. ,1
Hoy fue un excelente día,1
Conseguí que mi proyecto fuera aprovado.,1
Disfruté enormemente del hermoso paseo por el parque bajo el cálido sol de verano.,1
Hoy compré una galleta de chocolate y me motivé por el resto del día.,1
"Estoy emocionada por el día, hay muchas cosas que hacer pero estoy preparada ",1
Comencé mi día agradecida de poder venir a estudiar a la universidad y aprender cosas nuevas.,1
Hoy escuché una canción que me levantó el ánimo.,1
Hoy iré al box con las mejores ganas de la semana,1
"Aproveché mucho esta mañana: hice ejercicio, avancé tareas, y estuve con amigos.",1
Me siento bien con lo que he hecho hasta ahora,1
Hoy me sentí feliz al comer mi comida favorita ,1
En este momento me siento muy orgulloso del trabajo que estoy haciendo.,1
Me gusta mucho pasar tiempo con mi hermoso chihuahua,1
Siento que todo se me está dando como lo espero.,1
Ayer compartí toda la tarde junto a mis mejores amigos en el boliche.,1
Hoy seré mejor que ayer.,1
Es un día en el que la energía es buena y me siento motivada. ,1
hoy me levante y me hice un desayuno delicioso. ,1
Hoy estoy muy feliz con mi vida ,1
Ayer el servicio en el restaurante fue terrible,0
"Estuve muy estresado por los proyectos, ya no quiero estudiar ",0
"Hoy fui a un restaurante y la comida no me gustó, el servicio fue pésimo y me hizo sentir desanimada. ",0
Hoy no tengo ganas de salir,0
"Los días lluviosos me hacen sentir nostalgia, me baja la energía y quisiera no estar en el trabajo.",0
"no aguanto pasar tiempo en mi casa, siempre hay peleas",0
Estoy enferma y no puedo hablar con mis seres queridos porque me duele. ,0
Llamé a Claro para reclamar porque el servicio siempre es malo.,0
La soledad tiene nombre,0
Hoy casi me choca un carro en el tráfico y me sentí enojada.,0
Soy muy mala pintando. ,0
Nada me salió como esperaba y mi día está empeorando cada vez más,0
"Hoy me sentí separado de los demás, me siento solo a pesar de que hayan personas cerca.",0
"Lamentablemente, la cancelación del evento al que había estado esperando con ilusión me dejó muy desanimado.",0
Hay demasiado tráfico de camino a mi casa por lo que tengo menos tiempo para descansar.,0
Siento que nunca llegaré a ser amada,0
"No sé por qué, pero hoy todo me ha salido mal, hasta las cosas más pequeñas me enfurecen.",0
"Había mucho tráfico en el camino a casa, entonces llegué cansado y de mal humor.",0
Estuve frustrado por no poder salir ,0
Anoche terminé de ver una serie que me decepcionó mucho.,0
Me siento agotada y sin ánimos ,0
Hoy amanecí adolorida por que me caí en las gradas ,0
Siento que hoy no fue el mejor día de mi semana. ,0
Quisiera que te de indigestión por ser tan mala persona,0
Siento que cierta persona me está ocultando algo.,0
Me levenate por la mañana con mucho sueño y una gran carga de tareas.,0
Siento que no soy suficiente.,0
"No tuve la experiencia que esperaba, me siento cansada y sin ánimos de hacer nada. ",0
hoy tuve mucho cansancio en mi día. ,0
Hoy no pude dar la ayuda que soy capaz de dar. ,0